scaling_factor,crossover_rate,best,mean,md_iter,best_iter
0.1,0,1785159.66878,1780904.06564,7358.0,7358
0.1,0.1,1793405.86798,1789113.60316,7796.0,7581
0.1,0.25,1793405.47103,1778117.34174,5215.0,5215
0.1,0.5,1788553.15854,1770311.58127,2987.0,3306
0.1,0.75,1742885.9583,1681464.66262,2363.0,2394
0.1,0.9,1629045.02383,1462401.67511,2249.0,2243
0.1,1,723331.595863,366244.678428,2171.0,2115
0.3,0,1789316.47757,1785120.53617,5041.0,5325
0.3,0.1,1793406.1108,1793406.1108,6222.0,7960
0.3,0.25,1793406.1108,1793406.1108,5403.0,7125
0.3,0.5,1793406.1108,1793406.1108,4910.0,4831
0.3,0.75,1793406.09201,1793400.51285,13449.0,11911
0.3,0.9,1792376.25235,1779673.09572,3315.0,3435
0.3,1,1491374.09444,1241221.4846,2813.0,2634
0.5,0,1792164.88333,1788465.63612,6063.0,6063
0.5,0.1,1793406.1108,1793406.1108,7524.0,7550
0.5,0.25,1793406.1108,1793406.1108,6379.0,8369
0.5,0.5,1793406.1108,1793406.1108,6617.0,6113
0.5,0.75,1793406.1108,1793406.1108,4416.0,4416
0.5,0.9,1793406.1108,1793406.1108,3593.0,4430
0.5,1,1787256.46417,1764210.07538,20000.0,20000
0.7,0,1789030.72738,1785829.61947,4904.0,4904
0.7,0.1,1793406.1108,1793406.1108,9080.0,8535
0.7,0.25,1793406.1108,1793406.1108,8015.0,8070
0.7,0.5,1793406.1108,1793406.1108,9739.0,9739
0.7,0.75,1793406.1108,1793406.1108,6900.0,6900
0.7,0.9,1793406.1108,1793406.1108,4970.0,4970
0.7,1,1793406.1108,1793406.1108,3874.0,3822
0.9,0,1790041.37247,1785926.86578,5692.0,8667
0.9,0.1,1793406.1108,1793406.1108,11231.0,11654
0.9,0.25,1793406.1108,1793406.1108,10464.0,10464
0.9,0.5,1793406.1108,1793406.1108,14652.0,14458
0.9,0.75,1793406.1108,1793406.1108,12814.0,14216
0.9,0.9,1793406.1108,1793406.1108,9258.0,9414
0.9,1,1793406.1108,1659967.99226,6399.0,6486
1.0,0,1791089.99388,1785713.9321,5283.0,5904
1.0,0.1,1793406.1108,1793406.1108,12110.0,12375
1.0,0.25,1793406.1108,1793406.1108,10718.0,11076
1.0,0.5,1793406.1108,1793406.1108,17735.0,18641
1.0,0.75,1793406.1108,1793374.09817,18400.0,18755
1.0,0.9,1793406.1108,1704424.48128,9117.0,9422
1.0,1,1769509.23262,1648181.19562,2981.0,3340
1.1,0,1790097.76476,1786649.08989,5460.0,4488
1.1,0.1,1793406.1108,1793406.1108,13490.0,13490
1.1,0.25,1793406.1108,1793406.1108,12468.0,12129
1.1,0.5,1793406.1108,1793406.1108,20000.0,20000
1.1,0.75,1793406.1108,1784478.24446,20000.0,20000
1.1,0.9,1793406.1108,1704447.3651,16819.0,20000
1.1,1,1793406.1108,1659967.99226,9416.0,10539
1.5,0,1790637.8799,1786859.77076,4959.0,10003
1.5,0.1,1793406.1108,1793406.1108,19740.0,19740
1.5,0.25,1793406.1108,1793406.1108,18315.0,18738
1.5,0.5,1793406.10763,1793406.05308,20000.0,20000
1.5,0.75,1793327.97512,1744819.20949,20000.0,17301
1.5,0.9,1793083.24747,1615134.74352,20000.0,20000
1.5,1,1570935.66673,1294371.58538,6590.0,7895
2,0,1791582.01544,1787325.61145,6108.0,10448
2,0.1,1793406.1108,1793406.1108,20000.0,20000
2,0.25,1793406.1108,1793406.1108,20000.0,20000
2,0.5,1793397.35942,1793392.7676,20000.0,20000
2,0.75,1770590.9265,1644152.73565,13253.0,13253
2,0.9,1570385.4319,1468101.92845,13690.0,13690
2,1,1162230.5499,1101845.72788,4067.0,2962
